gene_id,gene_name,gene_type,chr,X1kb_up_tss_start,strand,number_of_dbp
ENSG00000271806.1,AL590822.2,lncRNA,chr1,2144280,-,0
ENSG00000182873.5,PRKCZ-AS1,lncRNA,chr1,2183390,-,0
ENSG00000162585.17,FAAP20,protein_coding,chr1,2211721,-,0
ENSG00000234396.3,AL590822.1,lncRNA,chr1,2211523,+,3
ENSG00000157933.10,SKI,protein_coding,chr1,2227319,+,4
ENSG00000287356.1,AL590822.3,lncRNA,chr1,2314040,+,5
ENSG00000116151.14,MORN1,protein_coding,chr1,2390708,-,2
ENSG00000272161.1,AL589739.1,lncRNA,chr1,2325694,-,0
ENSG00000272420.1,AL513477.2,lncRNA,chr1,2362629,-,0
ENSG00000157916.20,RER1,protein_coding,chr1,2390775,+,6
ENSG00000157911.10,PEX10,protein_coding,chr1,2412798,-,3
ENSG00000149527.18,PLCH2,protein_coding,chr1,2424980,+,0
ENSG00000224387.1,AL139246.1,lncRNA,chr1,2492259,-,0
ENSG00000229393.1,AL139246.4,lncRNA,chr1,2493480,-,0
ENSG00000157881.15,PANK4,protein_coding,chr1,2525612,-,0
ENSG00000197921.6,HES5,protein_coding,chr1,2529264,-,0
ENSG00000272449.2,AL139246.5,lncRNA,chr1,2529064,+,0
ENSG00000238164.6,TNFRSF14-AS1,lncRNA,chr1,2556032,-,0
ENSG00000157873.17,TNFRSF14,protein_coding,chr1,2554639,+,0
ENSG00000228037.1,AL139246.3,lncRNA,chr1,2580560,+,0
ENSG00000157870.16,PRXL2B,protein_coding,chr1,2585491,+,0
ENSG00000142606.16,MMEL1,protein_coding,chr1,2632017,-,0
ENSG00000237058.1,AL831784.1,lncRNA,chr1,2631568,+,1
ENSG00000215912.12,TTC34,protein_coding,chr1,2800718,-,1
ENSG00000285945.1,AC242022.2,lncRNA,chr1,2767091,+,0
ENSG00000283259.1,AC242022.1,lncRNA,chr1,2772603,+,0
ENSG00000233234.1,AL592464.2,lncRNA,chr1,2811693,-,0
ENSG00000287396.1,AL592464.3,lncRNA,chr1,2813056,+,0
ENSG00000231630.1,AL592464.1,lncRNA,chr1,2813999,-,0
ENSG00000284745.1,AL589702.1,lncRNA,chr1,2967708,-,1
ENSG00000169717.7,ACTRT2,protein_coding,chr1,3020467,+,0
ENSG00000177133.11,PRDM16-DT,lncRNA,chr1,3067438,-,0
ENSG00000142611.17,PRDM16,protein_coding,chr1,3068168,+,3
ENSG00000226286.1,AL008733.1,lncRNA,chr1,3132710,-,1
ENSG00000272235.1,AL590438.1,lncRNA,chr1,3309097,-,0
ENSG00000287828.1,AL354743.2,lncRNA,chr1,3322150,-,0
ENSG00000286518.1,AL354743.1,lncRNA,chr1,3372929,-,0
ENSG00000130762.15,ARHGEF16,protein_coding,chr1,3453665,+,7
ENSG00000272088.1,AL512413.1,lncRNA,chr1,3486246,+,0
ENSG00000162591.16,MEGF6,protein_coding,chr1,3610509,-,0
ENSG00000238260.1,AL513320.1,lncRNA,chr1,3623744,-,2
ENSG00000158109.15,TPRG1L,protein_coding,chr1,3624015,+,7
ENSG00000116213.16,WRAP73,protein_coding,chr1,3651762,-,1
ENSG00000078900.15,TP73,protein_coding,chr1,3651516,+,4
ENSG00000227589.1,AL136528.1,lncRNA,chr1,3667773,-,0
ENSG00000235131.1,AL136528.2,lncRNA,chr1,3713299,-,0
ENSG00000162592.10,CCDC27,protein_coding,chr1,3745460,+,6
ENSG00000235169.8,SMIM1,protein_coding,chr1,3771761,+,4
ENSG00000130764.10,LRRC47,protein_coding,chr1,3795499,-,1
ENSG00000272153.1,AL365330.1,lncRNA,chr1,3784008,+,4
ENSG00000116198.13,CEP104,protein_coding,chr1,3856215,-,3
ENSG00000169598.15,DFFB,protein_coding,chr1,3856267,+,7
ENSG00000198912.11,C1orf174,protein_coding,chr1,3899294,-,2
ENSG00000236423.6,LINC01134,lncRNA,chr1,3899352,+,6
ENSG00000233304.7,LINC01346,lncRNA,chr1,3939486,+,0
ENSG00000226374.3,LINC01345,lncRNA,chr1,3948025,-,0
ENSG00000284668.2,LINC02780,lncRNA,chr1,3975133,+,2
ENSG00000284703.1,AL805961.1,lncRNA,chr1,4018509,-,0
ENSG00000235054.4,LINC01777,lncRNA,chr1,4411027,+,0
ENSG00000284694.1,AL355602.1,lncRNA,chr1,4483376,-,0
ENSG00000227169.2,Z98747.1,lncRNA,chr1,4551146,-,0
ENSG00000232596.3,LINC01646,lncRNA,chr1,4570481,+,0
ENSG00000196581.11,AJAP1,protein_coding,chr1,4653609,+,0
ENSG00000287586.1,Z98886.1,lncRNA,chr1,4733993,-,0
ENSG00000284739.1,BX005132.1,lncRNA,chr1,4972299,-,0
ENSG00000284674.1,LINC02781,lncRNA,chr1,4972381,+,0
ENSG00000231510.1,LINC02782,lncRNA,chr1,5089900,-,0
ENSG00000284616.1,AL139823.1,lncRNA,chr1,5306395,-,0
ENSG00000284692.2,Z98259.3,lncRNA,chr1,5492058,-,0
ENSG00000284666.1,Z98259.2,lncRNA,chr1,5481029,-,0
ENSG00000260972.1,Z98259.1,lncRNA,chr1,5491978,+,0
ENSG00000236948.2,AL365255.1,lncRNA,chr1,5667296,-,0
ENSG00000131697.18,NPHP4,protein_coding,chr1,5991474,-,2
ENSG00000069424.15,KCNAB2,protein_coding,chr1,5989927,+,0
ENSG00000116254.18,CHD5,protein_coding,chr1,6179322,-,0
ENSG00000285629.1,AL031847.2,protein_coding,chr1,6196758,-,0
ENSG00000116251.11,RPL22,protein_coding,chr1,6208390,-,0
ENSG00000226944.1,AL031847.1,lncRNA,chr1,6204781,-,3
ENSG00000158286.13,RNF207,protein_coding,chr1,6204475,+,7
ENSG00000116237.16,ICMT,protein_coding,chr1,6234973,-,2
ENSG00000225077.3,LINC00337,lncRNA,chr1,6233692,+,1
ENSG00000173673.8,HES3,protein_coding,chr1,6243179,+,6
ENSG00000158292.7,GPR153,protein_coding,chr1,6260099,-,0
ENSG00000097021.19,ACOT7,protein_coding,chr1,6393392,-,2
ENSG00000271746.1,AL031848.2,lncRNA,chr1,6392555,+,6
ENSG00000069812.11,HES2,protein_coding,chr1,6423671,-,1
ENSG00000187017.17,ESPN,protein_coding,chr1,6423776,+,2
ENSG00000231868.1,AL031848.1,lncRNA,chr1,6446007,-,3
ENSG00000215788.10,TNFRSF25,protein_coding,chr1,6465196,-,1
ENSG00000171680.22,PLEKHG5,protein_coding,chr1,6519062,-,0
ENSG00000162408.11,NOL9,protein_coding,chr1,6553514,-,3
ENSG00000173662.21,TAS1R1,protein_coding,chr1,6554307,+,7
ENSG00000204859.13,ZBTB48,protein_coding,chr1,6578994,+,5
ENSG00000162413.16,KLHL21,protein_coding,chr1,6613608,-,2
ENSG00000116273.6,PHF13,protein_coding,chr1,6612731,+,6
ENSG00000041988.15,THAP3,protein_coding,chr1,6623866,+,5
ENSG00000007923.16,DNAJC11,protein_coding,chr1,6700925,-,2
ENSG00000228750.7,LINC01672,lncRNA,chr1,6723637,+,4
ENSG00000284744.1,AL591163.1,lncRNA,chr1,6766954,+,0
ENSG00000237436.1,CAMTA1-DT,lncRNA,chr1,6783844,-,3
ENSG00000171735.19,CAMTA1,protein_coding,chr1,6784454,+,8
ENSG00000237365.1,AL512330.1,lncRNA,chr1,7013280,-,0
ENSG00000237402.1,CAMTA1-IT1,lncRNA,chr1,7367942,+,0
ENSG00000237728.2,Z97987.1,lncRNA,chr1,7388755,-,0
ENSG00000225126.1,AL365194.1,lncRNA,chr1,7440555,-,0
ENSG00000270171.1,AL359881.3,lncRNA,chr1,7693845,-,0
ENSG00000270035.1,AL359881.2,lncRNA,chr1,7697873,-,0
ENSG00000269978.1,AL359881.1,lncRNA,chr1,7699971,-,0
ENSG00000049245.13,VAMP3,protein_coding,chr1,7770296,+,3
ENSG00000269925.1,Z98884.2,lncRNA,chr1,7775383,+,0
ENSG00000049246.14,PER3,protein_coding,chr1,7783320,+,4
ENSG00000236266.1,Z98884.1,lncRNA,chr1,7826343,-,0
ENSG00000049247.13,UTS2,protein_coding,chr1,7852513,-,0
ENSG00000049249.8,TNFRSF9,protein_coding,chr1,7942166,-,1
ENSG00000116288.13,PARK7,protein_coding,chr1,7953291,+,4
ENSG00000284747.1,AL034417.4,lncRNA,chr1,7990134,+,0
ENSG00000284716.1,AL034417.3,lncRNA,chr1,7998935,-,0
ENSG00000116285.13,ERRFI1,protein_coding,chr1,8025310,-,1
ENSG00000238290.1,AL034417.2,lncRNA,chr1,8025738,+,5
ENSG00000227634.3,LINC01714,lncRNA,chr1,8200518,+,3
ENSG00000233645.1,AL358876.2,lncRNA,chr1,8219530,-,0
ENSG00000162426.14,SLC45A1,protein_coding,chr1,8316826,+,1
ENSG00000142599.19,RERE,protein_coding,chr1,8847922,-,2
ENSG00000232912.6,RERE-AS1,lncRNA,chr1,8423645,+,5
ENSG00000228423.2,AL357552.2,lncRNA,chr1,8806052,-,0
ENSG00000074800.16,ENO1,protein_coding,chr1,8878191,-,2
ENSG00000230679.1,ENO1-AS1,lncRNA,chr1,8877835,+,6
ENSG00000131686.15,CA6,protein_coding,chr1,8944867,+,0
ENSG00000197241.3,SLC2A7,protein_coding,chr1,9025346,-,0
ENSG00000142583.18,SLC2A5,protein_coding,chr1,9087479,-,0
ENSG00000180758.12,GPR157,protein_coding,chr1,9128103,-,0
ENSG00000228526.7,MIR34AHG,lncRNA,chr1,9197907,-,0
ENSG00000234546.4,LNCTAM34A,lncRNA,chr1,9181004,+,6
ENSG00000049239.12,H6PD,protein_coding,chr1,9233775,+,6
ENSG00000171621.14,SPSB1,protein_coding,chr1,9291894,+,2
ENSG00000284652.1,BX323043.1,lncRNA,chr1,9421863,-,0
ENSG00000284693.1,LINC02606,lncRNA,chr1,9439565,-,0
ENSG00000235263.1,AL928921.1,lncRNA,chr1,9502472,-,0
ENSG00000171612.7,SLC25A33,protein_coding,chr1,9538465,+,5
ENSG00000188807.13,TMEM201,protein_coding,chr1,9587911,+,4
ENSG00000171608.16,PIK3CD,protein_coding,chr1,9650731,+,1
ENSG00000179840.5,PIK3CD-AS1,lncRNA,chr1,9653587,-,0
ENSG00000231789.2,PIK3CD-AS2,lncRNA,chr1,9686556,-,1
ENSG00000171603.17,CLSTN1,protein_coding,chr1,9823527,-,0
ENSG00000178585.15,CTNNBIP1,protein_coding,chr1,9909337,-,0
ENSG00000223989.1,AL357140.1,lncRNA,chr1,9847318,+,0
ENSG00000285701.1,AL357140.4,lncRNA,chr1,9899614,+,4
ENSG00000162441.12,LZIC,protein_coding,chr1,9942408,-,3
ENSG00000228150.1,AL357140.2,lncRNA,chr1,9941923,+,7
ENSG00000173614.14,NMNAT1,protein_coding,chr1,9942428,+,7
ENSG00000241326.1,AL603962.1,lncRNA,chr1,9982141,+,0
ENSG00000162444.12,RBP7,protein_coding,chr1,9996206,+,1
ENSG00000130939.20,UBE4B,protein_coding,chr1,10031832,+,4
ENSG00000054523.17,KIF1B,protein_coding,chr1,10209805,+,6
ENSG00000284735.1,AL139424.3,lncRNA,chr1,10386151,-,0
ENSG00000284642.1,AL139424.2,lncRNA,chr1,10394416,+,0
ENSG00000142657.21,PGD,protein_coding,chr1,10397592,+,6
ENSG00000271989.1,AL139424.1,lncRNA,chr1,10429678,-,3
ENSG00000251503.8,CENPS-CORT,protein_coding,chr1,10429102,+,7
ENSG00000175279.22,CENPS,protein_coding,chr1,10429433,+,7
ENSG00000241563.3,CORT,protein_coding,chr1,10448719,+,0
ENSG00000160049.12,DFFA,protein_coding,chr1,10471530,-,2
ENSG00000203469.2,AL354956.1,lncRNA,chr1,10457555,+,0
ENSG00000142655.13,PEX14,protein_coding,chr1,10471288,+,6
ENSG00000287727.1,AL139423.2,lncRNA,chr1,10615453,-,0
ENSG00000130940.15,CASZ1,protein_coding,chr1,10795651,-,0
ENSG00000272078.1,AL139423.1,lncRNA,chr1,10638241,+,0
ENSG00000175262.14,C1orf127,protein_coding,chr1,10981038,-,0
ENSG00000120948.17,TARDBP,protein_coding,chr1,11011344,+,5
ENSG00000277726.4,AL109811.3,protein_coding,chr1,11011662,+,5
ENSG00000009724.17,MASP2,protein_coding,chr1,11046240,-,1
ENSG00000271895.2,AL109811.2,lncRNA,chr1,11028659,+,0
ENSG00000116649.10,SRM,protein_coding,chr1,11059021,-,1
ENSG00000171824.14,EXOSC10,protein_coding,chr1,11098870,-,1
ENSG00000226849.1,AL109811.1,lncRNA,chr1,11067471,+,0
ENSG00000230337.1,EXOSC10-AS1,lncRNA,chr1,11098675,+,4
ENSG00000198793.13,MTOR,protein_coding,chr1,11261552,-,3
ENSG00000225602.5,MTOR-AS1,lncRNA,chr1,11142898,+,0
ENSG00000171819.5,ANGPTL7,protein_coding,chr1,11188355,+,0
ENSG00000120942.13,UBIAD1,protein_coding,chr1,11272206,+,6
ENSG00000284646.1,AL031291.1,lncRNA,chr1,11318094,-,1
ENSG00000204624.8,DISP3,protein_coding,chr1,11478155,+,4
ENSG00000285833.1,AL590989.1,lncRNA,chr1,11501017,-,0
ENSG00000235643.2,LINC01647,lncRNA,chr1,11608468,+,0
ENSG00000284708.1,AL031731.1,lncRNA,chr1,11622558,+,0
ENSG00000116661.11,FBXO2,protein_coding,chr1,11654786,-,1
ENSG00000132879.14,FBXO44,protein_coding,chr1,11653375,+,5
ENSG00000116663.11,FBXO6,protein_coding,chr1,11663200,+,4
ENSG00000116670.15,MAD2L2,protein_coding,chr1,11690651,-,0
ENSG00000162490.7,DRAXIN,protein_coding,chr1,11690710,+,1
ENSG00000177674.16,AGTRAP,protein_coding,chr1,11735084,+,5
ENSG00000215910.7,C1orf167,protein_coding,chr1,11760787,+,0
ENSG00000177553.6,AL953897.1,lncRNA,chr1,11778620,-,0
ENSG00000177000.12,MTHFR,protein_coding,chr1,11805921,-,1
ENSG00000011021.23,CLCN6,protein_coding,chr1,11805096,+,4
ENSG00000175206.10,NPPA,protein_coding,chr1,11847346,-,0
ENSG00000120937.9,NPPB,protein_coding,chr1,11857946,-,1
ENSG00000285646.2,AL021155.5,lncRNA,chr1,11906940,+,5
ENSG00000116685.16,KIAA2013,protein_coding,chr1,11925429,-,1
ENSG00000083444.17,PLOD1,protein_coding,chr1,11933205,+,5
ENSG00000287384.1,AL096840.2,lncRNA,chr1,11979128,-,2
ENSG00000116688.16,MFN2,protein_coding,chr1,11979181,+,6
ENSG00000116691.11,MIIP,protein_coding,chr1,12018466,+,7
ENSG00000120949.15,TNFRSF8,protein_coding,chr1,12062303,+,1
ENSG00000285604.1,AL357835.1,lncRNA,chr1,12091265,-,0
ENSG00000028137.19,TNFRSF1B,protein_coding,chr1,12165991,+,0
ENSG00000048707.15,VPS13D,protein_coding,chr1,12229030,+,6
ENSG00000229484.1,LINC02766,lncRNA,chr1,12526724,+,6
ENSG00000162496.9,DHRS3,protein_coding,chr1,12617211,-,2
ENSG00000272482.1,AC254633.1,lncRNA,chr1,12618245,-,3
ENSG00000204518.2,AADACL4,protein_coding,chr1,12643547,+,0
ENSG00000188984.12,AADACL3,protein_coding,chr1,12715110,+,0
ENSG00000157330.10,C1orf158,protein_coding,chr1,12745200,+,0
ENSG00000116726.4,PRAMEF12,protein_coding,chr1,12773841,+,0
ENSG00000116721.9,PRAMEF1,protein_coding,chr1,12790397,+,0
ENSG00000228338.1,LINC01784,lncRNA,chr1,12822160,-,0
ENSG00000239810.3,PRAMEF11,protein_coding,chr1,12830411,-,0
ENSG00000179172.9,HNRNPCL1,protein_coding,chr1,12847726,-,0
ENSG00000120952.4,PRAMEF2,protein_coding,chr1,12856086,+,0
ENSG00000243073.4,PRAMEF4,protein_coding,chr1,12885202,-,0
ENSG00000187545.5,PRAMEF10,protein_coding,chr1,12897271,-,0
ENSG00000204510.5,PRAMEF7,protein_coding,chr1,12915610,+,0
ENSG00000232423.6,PRAMEF6,protein_coding,chr1,12946581,-,0
ENSG00000274764.5,PRAMEF27,protein_coding,chr1,13055492,-,0
ENSG00000277058.2,HNRNPCL3,protein_coding,chr1,13059869,+,0
ENSG00000229571.7,PRAMEF25,protein_coding,chr1,13067677,+,0
ENSG00000275774.3,HNRNPCL2,protein_coding,chr1,13115855,-,0
ENSG00000233336.1,AC245056.1,lncRNA,chr1,13146461,-,0
ENSG00000280267.4,PRAMEF26,protein_coding,chr1,13154962,-,0
ENSG00000179412.10,HNRNPCL4,protein_coding,chr1,13164468,-,0
ENSG00000204505.4,PRAMEF9,protein_coding,chr1,13171455,+,0
ENSG00000279169.3,PRAMEF13,protein_coding,chr1,13200410,-,0
ENSG00000279804.2,PRAMEF18,protein_coding,chr1,13225107,-,0
ENSG00000270601.4,PRAMEF5,protein_coding,chr1,13253212,+,0
ENSG00000182330.10,PRAMEF8,protein_coding,chr1,13284175,-,0
ENSG00000237700.2,PRAMEF33,protein_coding,chr1,13302539,+,0
ENSG00000204501.7,PRAMEF15,protein_coding,chr1,13314581,+,0
ENSG00000228229.2,AC243961.1,lncRNA,chr1,13323039,+,0
ENSG00000204481.8,PRAMEF14,protein_coding,chr1,13346135,-,0
ENSG00000204480.8,PRAMEF19,protein_coding,chr1,13370901,-,0
ENSG00000204479.4,PRAMEF17,protein_coding,chr1,13388632,+,0
ENSG00000204478.9,PRAMEF20,protein_coding,chr1,13409450,+,0
ENSG00000162494.6,LRRC38,protein_coding,chr1,13513004,-,0
ENSG00000259961.1,AL354712.1,lncRNA,chr1,13512220,+,1
ENSG00000162493.16,PDPN,protein_coding,chr1,13582465,+,0
ENSG00000237445.2,AL359771.1,lncRNA,chr1,13658911,-,0
ENSG00000116731.22,PRDM2,protein_coding,chr1,13699198,+,0
ENSG00000189337.17,KAZN,protein_coding,chr1,13891792,+,0
ENSG00000231606.2,AL357873.1,lncRNA,chr1,14303446,-,0
ENSG00000234593.3,KAZN-AS1,lncRNA,chr1,14418974,-,0
ENSG00000287756.1,AL031293.1,lncRNA,chr1,14776728,-,0
ENSG00000175147.13,TMEM51-AS1,lncRNA,chr1,15152619,-,2
ENSG00000171729.14,TMEM51,protein_coding,chr1,15151532,+,5
ENSG00000204464.7,C1orf195,lncRNA,chr1,15170318,-,0
ENSG00000142621.19,FHAD1,protein_coding,chr1,15246272,+,0
ENSG00000233485.1,AL031283.2,lncRNA,chr1,15342877,-,0
ENSG00000236045.1,AL031283.3,lncRNA,chr1,15334465,-,0
ENSG00000228140.2,AL031283.1,lncRNA,chr1,15408434,-,1
ENSG00000142634.13,EFHD2,protein_coding,chr1,15408888,+,5
ENSG00000162438.12,CTRC,protein_coding,chr1,15437442,+,0
ENSG00000142615.8,CELA2A,protein_coding,chr1,15455728,+,0
ENSG00000215704.10,CELA2B,protein_coding,chr1,15464909,+,0
ENSG00000132906.18,CASP9,protein_coding,chr1,15525535,-,1
ENSG00000116138.13,DNAJC16,protein_coding,chr1,15525813,+,5
ENSG00000272510.1,AL121992.3,lncRNA,chr1,15564957,-,0
ENSG00000116771.6,AGMAT,protein_coding,chr1,15584052,-,2
ENSG00000237301.1,AL121992.1,lncRNA,chr1,15602627,-,0
ENSG00000197312.12,DDI2,protein_coding,chr1,15616458,+,5
ENSG00000215695.1,RSC1A1,protein_coding,chr1,15658869,+,1
ENSG00000271742.1,AL121992.2,lncRNA,chr1,15682129,-,1
ENSG00000116786.13,PLEKHM2,protein_coding,chr1,15683320,+,2
ENSG00000237938.5,AL450998.3,lncRNA,chr1,15735897,-,0
ENSG00000162461.8,SLC25A34,protein_coding,chr1,15735258,+,2
ENSG00000224459.1,SLC25A34-AS1,lncRNA,chr1,15748897,-,0
ENSG00000162460.7,TMEM82,protein_coding,chr1,15741499,+,5
ENSG00000162458.13,FBLIM1,protein_coding,chr1,15755607,+,2
ENSG00000233954.6,UQCRHL,protein_coding,chr1,15808349,-,0
ENSG00000179743.4,AL450998.2,lncRNA,chr1,15847148,-,0
ENSG00000065526.11,SPEN,protein_coding,chr1,15846707,+,3
ENSG00000116809.11,ZBTB17,protein_coding,chr1,15975133,-,1
ENSG00000183888.4,SRARP,protein_coding,chr1,16003236,+,4
ENSG00000233078.1,AL355994.3,lncRNA,chr1,16005672,-,0
ENSG00000173641.17,HSPB7,protein_coding,chr1,16018595,-,0
ENSG00000186510.12,CLCNKA,protein_coding,chr1,16017875,+,0
ENSG00000184908.17,CLCNKB,protein_coding,chr1,16042736,+,0
ENSG00000185519.9,FAM131C,protein_coding,chr1,16072652,-,0
ENSG00000142627.13,EPHA2,protein_coding,chr1,16155070,-,2
ENSG00000227959.1,AL451042.2,lncRNA,chr1,16154211,+,6
ENSG00000224621.1,AL451042.1,lncRNA,chr1,16158266,+,0
ENSG00000234166.1,ARHGEF19-AS1,lncRNA,chr1,16196854,+,0
ENSG00000142632.17,ARHGEF19,protein_coding,chr1,16211653,-,0
ENSG00000288398.1,AL109627.1,lncRNA,chr1,16230336,-,0
ENSG00000132881.12,CPLANE2,protein_coding,chr1,16236184,-,1
ENSG00000037637.11,FBXO42,protein_coding,chr1,16351481,-,0
ENSG00000055070.17,SZRD1,protein_coding,chr1,16351575,+,2
